bot,verified,geo_enabled,default_profile,has_description,len_en,followers,friends,listed_count,likes,tweets,cat_followers,cat_friends,cat_listed_count,cat_likes,cat_tweets
0,1.0,1.0,0.0,0,0,175843,204,419,7382,9121,5,3,3,4,4
0,0.0,0.0,1.0,0,0,67,474,3,3738,1300,2,3,1,4,4
0,0.0,0.0,1.0,1,0,292,148,1,10429,6228,3,3,1,5,4
0,0.0,0.0,1.0,1,0,62,379,0,3782,959,2,3,1,4,3
0,0.0,1.0,1.0,1,0,709,424,18,15838,16214,3,3,2,5,5
1,0.0,1.0,0.0,0,0,203,64,4,3327,19247,3,2,1,4,5
0,0.0,0.0,1.0,0,0,46,26,0,1206,4089,2,2,1,4,4
0,0.0,0.0,1.0,1,0,450,1490,7,34886,5341,3,4,1,5,4
0,0.0,1.0,0.0,1,0,2334,996,97,7579,11729,4,3,2,4,5
1,0.0,0.0,0.0,1,0,10,52,2,617,3198,1,2,1,3,4
0,0.0,1.0,0.0,1,0,2061,2831,81,60807,63945,4,4,2,5,5
0,0.0,1.0,0.0,1,0,79950,32566,353,151807,97642,5,5,3,5,5
0,0.0,0.0,0.0,1,0,1912,1583,125,3860,195705,4,4,3,4,5
1,0.0,0.0,1.0,0,0,314,642,1,13648,16895,3,3,1,5,5
0,0.0,1.0,0.0,0,0,1055,1607,4,76915,10288,4,4,1,5,5
1,0.0,0.0,1.0,0,0,186,469,0,3228,3068,3,3,1,4,4
0,0.0,0.0,1.0,1,0,307,300,14,6038,22972,3,3,2,4,5
0,0.0,1.0,0.0,1,0,2285,1771,67,11798,38011,4,4,2,5,5
1,0.0,0.0,1.0,0,0,139,54,0,4787,5472,3,2,1,4,4
1,0.0,0.0,1.0,0,0,295,585,0,13210,15683,3,3,1,5,5
1,0.0,1.0,0.0,1,0,329,445,1,262,3195,3,3,1,3,4
1,0.0,1.0,0.0,1,1,4843,1973,157,107465,61488,4,4,3,5,5
1,0.0,0.0,1.0,0,0,1,2,0,2047,2038,1,1,1,4,4
1,0.0,0.0,1.0,0,0,39,29,20,6840,6838,2,2,2,4,4
0,0.0,0.0,0.0,1,0,17300,17314,16,8890,86895,5,5,2,4,5
1,0.0,0.0,1.0,0,0,22,19,0,33199,2167,2,2,1,5,4
1,0.0,0.0,0.0,0,0,1118,751,3,19404,48043,4,3,1,5,5
1,0.0,0.0,1.0,0,0,494,685,2,5359,11732,3,3,1,4,5
1,0.0,0.0,1.0,1,0,366,434,3,19738,23553,3,3,1,5,5
0,0.0,1.0,0.0,1,0,251,1348,4,9752,5910,3,4,1,4,4
0,0.0,1.0,0.0,1,1,493,968,2,4027,5350,3,3,1,4,4
0,0.0,1.0,0.0,1,0,222,187,2,9432,2705,3,3,1,4,4
0,0.0,1.0,0.0,1,0,1725,949,7,76668,32925,4,3,1,5,5
0,0.0,0.0,1.0,1,0,34,232,0,8985,7648,2,3,1,4,4
1,0.0,1.0,1.0,0,0,224,161,1,381,4100,3,3,1,3,4
1,0.0,0.0,1.0,0,0,106,305,0,2291,4489,3,3,1,4,4
0,0.0,0.0,0.0,1,0,309,1462,27,49155,44138,3,4,2,5,5
0,0.0,0.0,1.0,0,0,15,36,0,1309,1351,2,2,1,4,4
